Name	Type	Link	Reference link	Kazumax	Release	Note
DRAM	AMG setection	https://github.com/WrightonLabCSU/DRAM	https://academic.oup.com/nar/article/48/16/8883/5884738	https://kazumaxneo.hatenablog.com/entry/2022/02/10/000615	2020	
VIBRANT	AMG prediction	https://github.com/AnantharamanLab/VIBRANT	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00867-0	https://kazumaxneo.hatenablog.com/entry/2020/06/14/175750	2021	
MetaPop	population analysis	https://github.com/metaGmetapop/metapop	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01231-0	https://kazumaxneo.hatenablog.com/entry/2021/03/04/084538	2022	
VIGOR	gene anotation	https://github.com/JCVenterInstitute/VIGOR4	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-11-451	https://kazumaxneo.hatenablog.com/entry/2020/11/13/225137	2022(latest)	Eukaryotic virus?
VADR	gene anotation	https://github.com/nawrockie/vadr	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-3537-3		2020	
pharokka	gene anotation	https://github.com/gbouras13/pharokka		https://kazumaxneo.hatenablog.com/entry/2022/07/03/220509		PHANOTATEÃ—PHROGs
PHANOTATE	gene prediction	https://github.com/deprekate/PHANOTATE	https://academic.oup.com/bioinformatics/article/35/22/4537/5480131	https://kazumaxneo.hatenablog.com/entry/2019/05/30/073000		
MetaPhage	gene anotation	https://github.com/MattiaPandolfoVR/MetaPhage	https://www.biorxiv.org/content/10.1101/2022.04.17.488583v1	https://kazumaxneo.hatenablog.com/entry/2022/04/23/124539		
VirionFinder	virion proteins identification	https://github.com/zhenchengfang/VirionFinder	https://www.frontiersin.org/articles/10.3389/fmicb.2021.615711/full		2021	
Phynteny	Synteny-based annotation	https://github.com/susiegriggo/Phynteny			2023	
